tile_id,station_id
0,68
1,44
2,44
3,44
4,44
5,44
6,68
7,68
8,68
9,68
10,68
11,68
12,44
13,44
14,44
15,44
16,44
17,44
18,44
19,44
20,44
21,44
22,44
23,44
24,44
25,44
26,68
27,68
28,68
29,68
30,68
31,68
32,68
33,68
34,44
35,44
36,44
37,44
38,44
39,44
40,44
41,44
42,44
43,44
44,44
45,44
46,44
47,44
48,68
49,68
50,68
51,68
52,68
53,68
54,68
55,68
56,68
57,68
58,68
59,44
60,44
61,44
62,44
63,44
64,44
65,44
66,44
67,44
68,44
69,44
70,44
71,44
72,44
73,44
74,44
75,68
76,68
77,68
78,68
79,68
80,68
81,68
82,68
83,68
84,68
85,44
86,44
87,44
88,44
89,44
90,44
91,44
92,44
93,44
94,44
95,44
96,44
97,44
98,44
99,44
100,44
101,44
102,44
103,68
104,68
105,68
106,68
107,68
108,68
109,68
110,68
111,68
112,68
113,44
114,44
115,44
116,44
117,44
118,44
119,44
120,44
121,44
122,44
123,44
124,44
125,44
126,44
127,44
128,44
129,44
130,44
131,44
132,44
133,68
134,68
135,68
136,68
137,68
138,68
139,68
140,68
141,68
142,68
143,68
144,44
145,44
146,44
147,44
148,44
149,44
150,44
151,44
152,44
153,44
154,44
155,44
156,44
157,44
158,44
159,44
160,44
161,44
162,44
163,44
164,68
165,68
166,68
167,68
168,68
169,68
170,68
171,68
172,68
173,68
174,68
175,68
176,68
177,54
178,54
179,44
180,44
181,44
182,44
183,44
184,44
185,44
186,44
187,44
188,44
189,44
190,44
191,44
192,44
193,44
194,44
195,44
196,44
197,44
198,44
199,68
200,68
201,68
202,68
203,68
204,68
205,68
206,68
207,68
208,68
209,68
210,68
211,68
212,68
213,54
214,54
215,54
216,54
217,54
218,44
219,44
220,44
221,44
222,44
223,44
224,44
225,44
226,44
227,44
228,44
229,44
230,44
231,44
232,44
233,44
234,12
235,12
236,12
237,68
238,68
239,68
240,68
241,68
242,68
243,68
244,68
245,68
246,68
247,68
248,68
249,68
250,68
251,68
252,54
253,54
254,54
255,54
256,54
257,54
258,54
259,54
260,44
261,44
262,44
263,44
264,44
265,44
266,44
267,44
268,44
269,44
270,44
271,12
272,12
273,12
274,12
275,12
276,12
277,12
278,68
279,68
280,68
281,68
